id_tienda,codigo_tienda,nombre_tienda,cadena,formato,region,ciudad,estado,superficie_m2,fecha_apertura
251,T1251,TiendaFresh Cancun,TiendaFresh,Express,Oeste,Cancun,Puebla,231,2022-06-04
252,T1252,CompraFácil Mexicali,CompraFácil,Hiper,Bajío,Mexicali,Nuevo León,3003,2022-03-31
253,T1253,CompraFácil Guadalajara,CompraFácil,Hiper,Este,Guadalajara,CDMX,2647,2019-06-13
254,T1254,CompraFácil Juarez,CompraFácil,Convenience,Este,Juarez,Puebla,137,2015-09-19
255,T1255,MercadoPlus Aguascalientes,MercadoPlus,Hiper,Bajío,Aguascalientes,Nuevo León,3633,2021-11-25
256,T1256,MercadoPlus Puebla,MercadoPlus,Hiper,Oeste,Puebla,Veracruz,3307,2016-01-05
257,T1257,MercadoPlus Hermosillo,MercadoPlus,Convenience,Norte,Hermosillo,Nuevo León,113,2017-07-28
258,T1258,MercadoPlus Morelia,MercadoPlus,Super,Norte,Morelia,Nuevo León,1656,2016-06-24
259,T1259,MercadoPlus Merida,MercadoPlus,Express,Centro,Merida,Veracruz,394,2017-11-29
260,T1260,MercadoPlus Mexicali,MercadoPlus,Convenience,Oeste,Mexicali,Puebla,128,2022-04-01
261,T1261,CompraFácil Culiacan,CompraFácil,Super,Norte,Culiacan,Puebla,1736,2019-04-30
262,T1262,MercadoPlus Guadalajara,MercadoPlus,Express,Oeste,Guadalajara,Nuevo León,251,2022-03-31
263,T1263,TiendaFresh Mexicali,TiendaFresh,Convenience,Oeste,Mexicali,Michoacán,123,2019-05-03
264,T1264,SuperMax Queretaro,SuperMax,Super,Este,Queretaro,Jalisco,1549,2016-09-22
265,T1265,CompraFácil Guadalajara,CompraFácil,Hiper,Norte,Guadalajara,Puebla,4335,2022-05-26
266,T1266,MercadoPlus Monterrey,MercadoPlus,Hiper,Oeste,Monterrey,Nuevo León,3582,2016-01-18
267,T1267,CompraFácil Cancun,CompraFácil,Hiper,Oeste,Cancun,Guanajuato,2486,2023-05-22
268,T1268,MercadoPlus Merida,MercadoPlus,Super,Este,Merida,Nuevo León,1942,2021-02-10
269,T1269,TiendaFresh Culiacan,TiendaFresh,Express,Sur,Culiacan,Veracruz,611,2018-05-31
270,T1270,SuperMax Merida,SuperMax,Super,Norte,Merida,Jalisco,1770,2023-04-17
271,T1271,CompraFácil Tijuana,CompraFácil,Express,Oeste,Tijuana,Veracruz,535,2022-09-03
272,T1272,TiendaFresh San Luis Potosi,TiendaFresh,Express,Este,San Luis Potosi,Veracruz,544,2019-09-15
273,T1273,CompraFácil Mexico DF,CompraFácil,Hiper,Este,Mexico DF,Michoacán,3508,2021-01-20
274,T1274,TiendaFresh San Luis Potosi,TiendaFresh,Super,Este,San Luis Potosi,Veracruz,854,2024-01-01
275,T1275,CompraFácil Tlalnepantla,CompraFácil,Hiper,Bajío,Tlalnepantla,Michoacán,4365,2016-06-22
276,T1276,MercadoPlus Leon,MercadoPlus,Super,Oeste,Leon,Puebla,1873,2023-12-25
277,T1277,CompraFácil Guadalajara,CompraFácil,Express,Bajío,Guadalajara,Jalisco,786,2023-07-04
278,T1278,SuperMax Merida,SuperMax,Express,Norte,Merida,Puebla,628,2020-05-22
279,T1279,MercadoPlus Saltillo,MercadoPlus,Convenience,Bajío,Saltillo,Jalisco,178,2019-03-18
280,T1280,CompraFácil Culiacan,CompraFácil,Super,Bajío,Culiacan,Jalisco,1224,2016-03-09
281,T1281,TiendaFresh Merida,TiendaFresh,Convenience,Oeste,Merida,Puebla,94,2020-02-09
282,T1282,CompraFácil Queretaro,CompraFácil,Hiper,Oeste,Queretaro,Nuevo León,4498,2022-10-24
283,T1283,CompraFácil Acapulco,CompraFácil,Express,Sur,Acapulco,Nuevo León,505,2020-09-08
284,T1284,MercadoPlus Juarez,MercadoPlus,Hiper,Centro,Juarez,Guanajuato,4827,2016-08-30
285,T1285,CompraFácil Acapulco,CompraFácil,Hiper,Este,Acapulco,Nuevo León,4955,2021-11-01
286,T1286,TiendaFresh Acapulco,TiendaFresh,Hiper,Norte,Acapulco,Veracruz,3555,2018-08-16
287,T1287,CompraFácil Guadalajara,CompraFácil,Hiper,Sur,Guadalajara,Nuevo León,3178,2022-05-20
288,T1288,SuperMax Queretaro,SuperMax,Hiper,Este,Queretaro,Guanajuato,3962,2020-10-11
289,T1289,MercadoPlus Acapulco,MercadoPlus,Express,Oeste,Acapulco,Nuevo León,478,2016-01-02
290,T1290,MercadoPlus Tlalnepantla,MercadoPlus,Super,Oeste,Tlalnepantla,Guanajuato,1290,2020-02-10
291,T1291,MercadoPlus Torreon,MercadoPlus,Super,Bajío,Torreon,Veracruz,1276,2022-06-17
292,T1292,SuperMax Mexicali,SuperMax,Super,Este,Mexicali,Nuevo León,1005,2016-10-16
293,T1293,MercadoPlus Saltillo,MercadoPlus,Super,Oeste,Saltillo,Jalisco,1774,2017-04-02
294,T1294,CompraFácil San Luis Potosi,CompraFácil,Express,Centro,San Luis Potosi,Nuevo León,260,2020-12-07
295,T1295,SuperMax Guadalajara,SuperMax,Express,Oeste,Guadalajara,Guanajuato,379,2019-11-23
296,T1296,CompraFácil Morelia,CompraFácil,Express,Norte,Morelia,Michoacán,707,2022-11-27
297,T1297,MercadoPlus San Luis Potosi,MercadoPlus,Hiper,Norte,San Luis Potosi,CDMX,4326,2020-03-09
298,T1298,SuperMax Acapulco,SuperMax,Hiper,Centro,Acapulco,Puebla,4147,2019-05-31
299,T1299,CompraFácil Queretaro,CompraFácil,Express,Oeste,Queretaro,Puebla,397,2021-05-18
300,T1300,SuperMax Hermosillo,SuperMax,Hiper,Sur,Hermosillo,Guanajuato,4655,2020-09-18
301,T1301,TiendaFresh Merida,TiendaFresh,Express,Norte,Merida,Guanajuato,502,2016-11-13
302,T1302,MercadoPlus Morelia,MercadoPlus,Express,Oeste,Morelia,Michoacán,637,2023-10-11
303,T1303,TiendaFresh Puebla,TiendaFresh,Super,Este,Puebla,Guanajuato,1178,2017-08-05
304,T1304,MercadoPlus Mexico DF,MercadoPlus,Convenience,Centro,Mexico DF,Jalisco,116,2022-10-10
305,T1305,CompraFácil Queretaro,CompraFácil,Express,Este,Queretaro,Michoacán,537,2016-08-18
306,T1306,TiendaFresh Aguascalientes,TiendaFresh,Super,Centro,Aguascalientes,Guanajuato,1283,2024-04-03
307,T1307,SuperMax Leon,SuperMax,Super,Este,Leon,Nuevo León,1630,2020-08-18
308,T1308,TiendaFresh Aguascalientes,TiendaFresh,Super,Bajío,Aguascalientes,Nuevo León,1252,2020-07-25
309,T1309,MercadoPlus Hermosillo,MercadoPlus,Express,Este,Hermosillo,Jalisco,582,2021-08-01
310,T1310,CompraFácil Juarez,CompraFácil,Convenience,Oeste,Juarez,Michoacán,113,2018-04-19
311,T1311,SuperMax Aguascalientes,SuperMax,Convenience,Oeste,Aguascalientes,Guanajuato,69,2023-05-28
312,T1312,SuperMax Juarez,SuperMax,Super,Oeste,Juarez,Veracruz,1972,2023-05-02
313,T1313,MercadoPlus Culiacan,MercadoPlus,Express,Centro,Culiacan,Michoacán,652,2016-03-08
314,T1314,SuperMax Mexicali,SuperMax,Express,Bajío,Mexicali,Veracruz,293,2022-12-17
315,T1315,CompraFácil Culiacan,CompraFácil,Super,Este,Culiacan,Jalisco,1650,2023-01-26
316,T1316,CompraFácil San Luis Potosi,CompraFácil,Super,Oeste,San Luis Potosi,Puebla,844,2016-01-06
317,T1317,CompraFácil Juarez,CompraFácil,Hiper,Norte,Juarez,Guanajuato,4368,2018-04-14
318,T1318,SuperMax Monterrey,SuperMax,Super,Este,Monterrey,Nuevo León,1908,2017-06-03
319,T1319,SuperMax San Luis Potosi,SuperMax,Super,Este,San Luis Potosi,CDMX,1637,2018-11-26
320,T1320,MercadoPlus Saltillo,MercadoPlus,Express,Bajío,Saltillo,Guanajuato,583,2018-04-21
321,T1321,CompraFácil Monterrey,CompraFácil,Convenience,Este,Monterrey,Puebla,188,2017-10-12
322,T1322,MercadoPlus Acapulco,MercadoPlus,Hiper,Norte,Acapulco,Jalisco,3609,2022-01-24
323,T1323,MercadoPlus Mexico DF,MercadoPlus,Express,Norte,Mexico DF,Michoacán,505,2016-11-27
324,T1324,CompraFácil Torreon,CompraFácil,Convenience,Oeste,Torreon,Puebla,113,2020-08-05
325,T1325,CompraFácil Juarez,CompraFácil,Hiper,Sur,Juarez,Nuevo León,4969,2018-10-16
